name,artist_id,birth_date,death_date,birth_date_dt,death_date_dt,nationality_id,nationality,image_url,wikipedia_title,biography,family_name,given_name
Jean-Baptiste Belin,Q1684612,1653,1715,+1653-11-09T00:00:00Z,+1715-12-02T00:00:00Z,Q142,France,,Jean-Baptiste Belin,"Jean-Baptiste Belin de Fontenay I (1653–1715), also called ‘Jean-Baptiste Belin the Elder’, was a French painter who specialized in flowers.",Fontenay,Jean Baptiste
Sebastiano del Piombo,Q285423,1485,1547,+1485-01-01T00:00:00Z,+1547-06-21T00:00:00Z,Q4948,Republic of Venice,https://commons.wikimedia.org/wiki/Special:FilePath/(Venice) Bust of Sebastiano del Piombo by Lorenzo Moretti Larese - gallerie Accademia Venice.jpg,Sebastiano del Piombo,"Sebastiano del Piombo (Italian: [sebaˈstjaːno del ˈpjombo]; c. 1485 – 21 June 1547) was an Italian painter of the High Renaissance and early Mannerist periods famous as the only major artist of the period to combine the colouring of the Venetian school in which he was trained with the monumental forms of the Roman school.  He belongs both to the painting school of his native city, Venice, where he made significant contributions before he left for Rome in 1511, and that of Rome, where he stayed for the rest of his life, and whose style he thoroughly adopted.
Born Sebastiano Luciani, after coming to Rome he became known as Sebastiano Veneziano or Viniziano (""Sebastian the Venetian""), until in 1531 he became the Keeper of the Seal to the Papacy, and so got the nickname del Piombo (""of the Lead"") thereafter, from his new job title of piombatore. Friends like Michelangelo and Ariosto called him Fra Bastiano (""Brother Bastian"").
Never a very disciplined or productive painter, his artistic productivity fell still further after becoming piombatore, which committed him to attend on the pope most days, to travel with him and to take holy orders as a friar, despite having a wife and two children. He now painted mostly portraits, and relatively few works of his survive compared to his great contemporaries in Rome. This limited his involvement with the Mannerist style of his later years.
Having achieved success as a lutenist in Venice when young, he turned to painting and trained with Giovanni Bellini and Giorgione.  When he first went to Rome he worked alongside Raphael and then became one of the few painters to get on well with Michelangelo, who tried to promote his career by encouraging him to compete for commissions against Raphael.  He painted portraits and religious subjects in oils, and once he was established avoided the large fresco schemes that took up so much of the time of Raphael and Michelangelo.  His earlier career in both Venice and Rome was somewhat overshadowed by the presence of clearly greater painters in the same city, but after the death of Raphael in 1520 he became Rome's leading painter.  His influence on other artists was limited by his lack of prominent pupils, and relatively little dissemination of his works in print copies.",del Piombo,Sebastiano
Will Hicok Low,Q8002863,1853,1932,+1853-03-31T00:00:00Z,+1932-11-27T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Self-Portrait at Montigny SAAM-1942.10.5 2.jpg,Will Hicok Low,"Will Hicok Low (March 31, 1853 – November 27, 1932) or Will Hicock Low was an American artist, muralist, and writer on art.",Low,Will
Hans Thoma,Q678094,1839,1924,+1839-10-02T00:00:00Z,+1924-11-07T00:00:00Z,Q43287,German Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Hans Thoma - Selbstbildnis vor Birkenwald (1899).jpg,Hans Thoma,"Hans Thoma (2 October 1839 – 7 November 1924) was a German painter.

",Thoma,Hans
Berthe Morisot,Q105320,1841,1895,+1841-01-14T00:00:00Z,+1895-03-02T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Morisot berthe photo.jpg,Berthe Morisot,"Berthe Marie Pauline Morisot (French: [bɛʁt mɔʁizo]; January 14, 1841 – March 2, 1895) was a French painter and a member of the circle of painters in Paris who became known as the Impressionists.
In 1864, Morisot exhibited for the first time in the highly esteemed Salon de Paris. Sponsored by the government and judged by Academicians, the Salon was the official, annual exhibition of the Académie des beaux-arts in Paris. Her work was selected for exhibition in six subsequent Salons until, in 1874, she joined the ""rejected"" Impressionists in the first of their own exhibitions, which included Paul Cézanne, Edgar Degas, Claude Monet, Camille Pissarro, Pierre-Auguste Renoir and Alfred Sisley. It was held at the studio of the photographer Nadar. Morisot went on to participate in all but one of the following eight impressionist exhibitions, between 1874 and 1886.
Morisot was married to Eugène Manet, the brother of her friend and colleague Édouard Manet.
She was described by art critic Gustave Geffroy in 1894 as one of ""les trois grandes dames"" (The three great ladies) of Impressionism alongside Marie Bracquemond and Mary Cassatt.",Morisot,Berthe
Vilhelm Hammershøi,Q380706,1864,1916,+1864-05-15T00:00:00Z,+1916-02-13T00:00:00Z,Q756617,Kingdom of Denmark,"https://commons.wikimedia.org/wiki/Special:FilePath/Vilhelm Hammershøi, by Vilhelm Hammershøi.jpg",Vilhelm Hammershøi,"Vilhelm Hammershøi (), often anglicised as Vilhelm Hammershoi (15 May 1864 – 13 February 1916), was a Danish painter. He is known for his poetic, subdued portraits and interiors. In 1905, Rainer Maria Rilke wrote of the artist, ""Hammershøi is not one of those about whom one can speak quickly. His work is wide-ranging and slow, and at whatever moment one comprehends it, it will always provide an opportunity to talk about what is important and essential in art"".",Hammershøi,Vilhelm
David Gilmour Blythe,Q5234146,1815,1865,+1815-05-09T00:00:00Z,+1865-05-15T00:00:00Z,Q30,United States of America,,David Gilmour Blythe,"David Gilmour Blythe (May 9, 1815 – May 15, 1865) was a self-taught American artist best known for paintings which satirically portrayed political and social situations. Blythe was also an accomplished portraitist and poet. He is widely regarded as the Pittsburgh region's pre-eminent nineteenth-century painter.",Blythe,David Gilmour
Henri de Toulouse-Lautrec,Q82445,1864,1901,+1864-11-24T00:00:00Z,+1901-09-09T00:00:00Z,Q71092,Second French Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Photolautrec.jpg,Henri de Toulouse-Lautrec,"Comte Henri Marie Raymond de Toulouse-Lautrec-Monfa (24 November 1864 – 9 September 1901), known as Toulouse-Lautrec (French: [tuluz lotʁɛk]), was a French painter, printmaker, draughtsman, caricaturist, and illustrator whose immersion in the colourful and theatrical life of Paris in the late 19th century allowed him to produce a collection of enticing, elegant, and provocative images of the sometimes decadent affairs of those times.
Born into the aristocracy, Toulouse-Lautrec broke both his legs around the time of his adolescence and, possibly due to the rare condition pycnodysostosis, was very short as an adult due to his undersized legs. In addition to alcoholism, he developed an affinity for brothels and prostitutes that directed the subject matter for many of his works, which record details of the late-19th-century bohemian lifestyle in Paris. He is among the painters described as being Post-Impressionists, with Paul Cézanne, Vincent van Gogh, Paul Gauguin, and Georges Seurat also commonly considered as belonging in this loose group.
In a 2005 auction at Christie's auction house, La Blanchisseuse, Toulouse-Lautrec's early painting of a young laundress, sold for US$22.4 million, setting a new record for the artist for a price at auction.",Toulouse-Lautrec,Henri
Yang Jin,Q16240012,1644,1728,+1644-01-01T00:00:00Z,+1728-01-01T00:00:00Z,Q8733,Qing dynasty,,Yang Jin,"Yang Jin (simplified Chinese: 杨晋; traditional Chinese: 楊晉; pinyin: Yáng Jìn; Wade–Giles: Yang Chin); ca. (1644-1728) was a Chinese painter during the Qing Dynasty (1644–1912).
Yang was born in Changshu in the Jiangsu province. His style name was 'Zi He' (子鶴) and his pseudonym was 'Xi Ting' (西停). Yang's paintings were meticulous and exquisite, in the style of Wang Hui.",Yang,Jin
Charles Louis Müller,Q2959887,1815,1892,+1815-12-28T00:00:00Z,+1892-01-09T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Personnalités des arts et des lettres - Charles Müller.jpg,Charles Louis Müller,Charles Louis Müller (also known as Müller de Paris) (Paris 22 December 1815 – 10 January 1892  Paris) was a French painter.,Muller,Charles Louis-Lucien
Samuel Colman,Q1751436,1832,1920,+1832-03-04T00:00:00Z,+1920-03-26T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Colman Storm King on the Hudson.jpg,Samuel Colman,"Samuel Colman (March 4, 1832 – March 26, 1920) was an American painter, interior designer, and writer, probably best remembered for his paintings of the Hudson River.",Colman,Samuel
Kanō Motonobu,Q1078015,1476,1559,+1476-08-28T00:00:00Z,+1559-11-05T00:00:00Z,Q17,Japan,"https://commons.wikimedia.org/wiki/Special:FilePath/Kano White-robed Kannon, Bodhisattva of Compassion.jpg",Kanō Motonobu,"Kanō Motonobu (狩野 元信, August 28, 1476 – November 5, 1559) was a Japanese painter and calligrapher. He was a member of the Kanō school of painting. Through his political connections, patronage, organization, and influence he was able to make the Kanō school into what it is today. The system was responsible for the training of a great majority of painters throughout the Edo period (1603–1868). After his death, he was referred to as Kohōgen (古法眼).",Kano,Motonobu
Frans Francken the Younger,Q1442507,1581,1642,+1581-01-01T00:00:00Z,+1642-05-06T00:00:00Z,Q1031430,Habsburg Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Anthony van Dyck - Portrait of Frans Francken II.jpg,Frans Francken the Younger,"Frans Francken the Younger (1581, Antwerp – 6 May 1642, Antwerp) was a Flemish painter and the best-known and most prolific member of the large Francken family of artists. He painted large altarpieces for churches as well as smaller historical, mythological and allegorical scenes. His depictions of collectors' cabinets established a popular new genre of art in the era. Francken often collaborated with other artists, adding figures and narrative elements to scenes created by specialists in landscape, architectural and floral still life paintings.",Francken,Frans
Xia Kui,Q45466595,,,,,Q9903,Ming dynasty,,,,Xia,Kui
Giovanni Battista Tiepolo,Q186202,1696,1770,+1696-03-05T00:00:00Z,+1770-03-27T00:00:00Z,Q4948,Republic of Venice,"https://commons.wikimedia.org/wiki/Special:FilePath/Tiepolo, Giovanni Battista - Fresken Treppenhaus des Würzburger Residenzschlosses, Szenen zur Apotheose des Fürstbischofs, Detail Giovanni Battista Tiepolo - 1750-1753.jpg",Giovanni Battista Tiepolo,"Giovanni Battista Tiepolo ( tee-EP-ə-loh, Italian: [dʒoˈvanni batˈtista ˈtjɛːpolo, ˈtjeː-]; 5 March 1696 – 27 March 1770), also known as Giambattista (or Gianbattista) Tiepolo, was an Italian painter and printmaker from the Republic of Venice who painted in the Rococo style, considered an important member of the 18th-century Venetian school. He was prolific, and worked not only in Italy, but also in Germany and Spain.
Giovan Battista Tiepolo, together with Giambattista Pittoni, Canaletto, Giovan Battista Piazzetta, Giuseppe Maria Crespi, and Francesco Guardi are considered the traditional Old Masters of that period.
Successful from the beginning of his career, he has been described by Michael Levey as ""the greatest decorative painter of eighteenth-century Europe, as well as its most able craftsman.""",Tiepolo,Giovanni Battista
Piero di Cosimo,Q280851,1462,1522,+1462-01-02T00:00:00Z,+1522-04-12T00:00:00Z,,,"https://commons.wikimedia.org/wiki/Special:FilePath/087 le vite, piero di cosimo.jpg",Piero di Cosimo,"Piero di Cosimo (2 January 1462 – 12 April 1522), also known as Piero di Lorenzo, was an Italian Renaissance painter, who continued to use an essentially Early Renaissance style into the 16th century.
He is most famous for the mythological and allegorical subjects he painted in the late Quattrocento; he is said to have abandoned these to return to religious subjects under the influence of Savonarola, the preacher who exercised a huge sway in Florence in the 1490s, and had a similar effect on Botticelli. The High Renaissance style of the new century had little influence on him, and he retained the straightforward realism of his figures, which combines with an often whimsical treatment of his subjects to create the distinctive mood of his works. 
Vasari has many stories of his eccentricity, and the mythological subjects have an individual and quirky fascination. He trained under Cosimo Rosselli, whose daughter he married, and assisted him in his Sistine Chapel frescos. 
He was also influenced by Early Netherlandish painting, and busy landscapes feature in many works, often forests seen close at hand.  Several of his most striking secular works are in the long ""landscape"" format used for paintings inset into cassone wedding chests or spalliera headboards or panelling. He was apparently famous for designing the temporary decorations for Carnival and other festivities.",di Cosimo,Piero
Thomas Cole,Q334001,1801,1848,+1801-02-01T00:00:00Z,+1848-02-11T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Thomascole2.jpg,Thomas Cole,"Thomas Cole (1 February 1801 – 11 February 1848) was an English-born American artist and the founder of the Hudson River School art movement. Cole is widely regarded as the first significant American landscape painter. He was known for his romantic landscape and history paintings. Influenced by European painters, but with a strong American sensibility, he was prolific throughout his career and worked primarily with oil on canvas. His paintings are typically allegoric and often depict small figures or structures set against moody and evocative natural landscapes. They are usually escapist, framing the New World as a natural eden contrasting with the smog-filled cityscapes of Industrial Revolution-era Britain, in which he grew up. His works, often seen as conservative, criticize the contemporary trends of industrialism, urbanism, and westward expansion.",Cole,Thomas
Master of Apollo and Daphne,Q21890482,,,,,,,,,,Master of Apollo and Daphne,
Childe Hassam,Q737635,1859,1935,+1859-10-17T00:00:00Z,+1935-08-27T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Childe Hassam 1903.png,Childe Hassam,"Frederick Childe Hassam (; October 17, 1859 – August 27, 1935) was an American Impressionist painter, noted for his urban and coastal scenes. Along with Mary Cassatt and John Henry Twachtman, Hassam was instrumental in promulgating Impressionism to American collectors, dealers, and museums. He produced over 3,000 paintings, oils, watercolors, etchings, and lithographs over the course of his career, and was an influential American artist of the early 20th century.",Hassam,Childe
Henri-Edmond Cross,Q555224,1856,1910,+1856-05-20T00:00:00Z,+1910-05-16T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Henri-Edmond-Cross-Self-portrait.jpg,Henri-Edmond Cross,"Henri-Edmond Cross (French pronunciation: [ɑ̃ʁi ɛdmɔ̃ kʁɔs]; 20 May 1856 – 16 May 1910), born Henri-Edmond-Joseph Delacroix (French pronunciation: [ɑ̃ʁi ɛdmɔ̃ ʒozɛf dəlakʁwa]), was a French painter and printmaker. He is most acclaimed as a master of Neo-Impressionism and he played an important role in shaping the second phase of that movement. He was a significant influence on Henri Matisse and many other artists. His work was instrumental in the development of Fauvism.",Cross,Henri Edmond
George Bellows,Q167132,1882,1925,+1882-08-12T00:00:00Z,+1925-01-08T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/George bellows.jpg,George Bellows,"George Wesley Bellows (August 12 or August 19, 1882 – January 8, 1925) was an American realist painter, known for his bold depictions of urban life in New York City. He became, according to the Columbus Museum of Art, ""the most acclaimed American artist of his generation"".

",Bellows,George
Marsden Hartley,Q553259,1877,1943,+1877-01-04T00:00:00Z,+1943-09-02T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Marsden Hartley.jpg,Marsden Hartley,"Marsden Hartley (January 4, 1877 – September 2, 1943) was an American Modernist painter, poet, and essayist. Hartley developed his painting abilities by observing Cubist artists in Paris and Berlin.",Hartley,Marsden
Dante Gabriel Rossetti,Q186748,1828,1882,+1828-05-12T00:00:00Z,+1882-04-09T00:00:00Z,Q174193,United Kingdom of Great Britain and Ireland,https://commons.wikimedia.org/wiki/Special:FilePath/Dante Gabriel Rossetti by George Frederic Watts.jpg,Dante Gabriel Rossetti,"Gabriel Charles Dante Rossetti (12 May 1828 – 9 April 1882), generally known as Dante Gabriel Rossetti ( rə-ZET-ee; Italian: [rosˈsetti]), was an English poet, illustrator, painter, translator, and member of the Rossetti family. He founded the Pre-Raphaelite Brotherhood in 1848 with William Holman Hunt and John Everett Millais. Rossetti inspired the next generation of artists and writers, William Morris and Edward Burne-Jones in particular. His work also influenced the European Symbolists and was a major precursor of the Aesthetic movement.
Rossetti's art was characterised by its sensuality and its medieval revivalism. His early poetry was influenced by John Keats and William Blake. His later poetry was characterised by the complex interlinking of thought and feeling, especially in his sonnet sequence The House of Life. Poetry and image are closely entwined in Rossetti's work. He frequently wrote sonnets to accompany his pictures, spanning from The Girlhood of Mary Virgin (1849) and Astarte Syriaca (1877), while also creating art to illustrate poems such as Goblin Market by the celebrated poet Christina Rossetti, his sister.
Rossetti's personal life was closely linked to his work, especially his relationships with his models and muses Elizabeth Siddal (whom he married), Fanny Cornforth, and Jane Morris.",Rossetti,Dante Gabriel
Thomas Sully,Q786545,1783,1872,+1783-06-19T00:00:00Z,+1872-11-05T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas Sully.jpg,Thomas Sully,"Thomas Sully (June 19, 1783 – November 5, 1872) was an English-American portrait painter. He was born in England, became a naturalized American citizen in 1809, and lived most of his life in Philadelphia, Pennsylvania, including in the Thomas Sully Residence. He studied painting in England under Benjamin West. He painted in the style of Thomas Lawrence and has been referred to as the ""Sir Thomas Lawrence of America"".
He produced over 2,300 paintings over his 70 year career. His subjects included United States presidents Thomas Jefferson, John Quincy Adams, and Andrew Jackson; Revolutionary War hero General Marquis de Lafayette, and Queen Victoria. In addition to portraits of wealthy patrons, he painted landscapes and historical pieces such as the 1819 The Passage of the Delaware. His work was adapted for use on United States coinage.",Sully,Thomas
Soga Shōhaku,Q3076703,1730,1781,+1730-01-01T00:00:00Z,+1781-01-30T00:00:00Z,Q17,Japan,,Soga Shōhaku,"Soga Shōhaku (曾我 蕭白, 1730 – January 30, 1781) was a Japanese painter of the Edo period. Shōhaku distinguished himself from his contemporaries by preferring the brush style of the Muromachi period, an aesthetic that was already passé 150 years before his birth. His monstrous depictions of prominent figures were extremely unusual compared to other painters of his time.",Soga,Shōhaku
Sheldon Peck,Q16065702,1797,1868,+1797-08-26T00:00:00Z,+1868-03-19T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Sheldon Peck.jpg,Sheldon Peck,"Sheldon Peck (August 26, 1797 - March 19, 1868) was an American folk artist, conductor on the Underground Railroad, and social activist. Peck's portraiture – with its distinctive style — is a prime example of 19th century American folk art. He also become known for advocating abolitionism, racial equality, temperance, public education, women's rights, and pacifism.",Peck,Sheldon
Jean-Victor Bertin,Q331884,1767,1842,+1767-03-20T00:00:00Z,+1842-06-11T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Victor Bertin by Robert Lefevre.jpg,Jean-Victor Bertin,"Jean-Victor Bertin (20 March 1767 – 11 June 1842) was a French painter of historical landscapes, inspired by Italy and known for the minute detail of his classical style.",Bertin,Jean Victor
Ni Zan,Q731030,1301,1374,+1301-01-01T00:00:00Z,+1374-01-01T00:00:00Z,Q7313,Yuan dynasty,"https://commons.wikimedia.org/wiki/Special:FilePath/Портрет Ни Цзаня ок 1340 Аноним.Гугун, Тайбэй..jpg",Ni Zan,"Ni Zan (Chinese: 倪瓚; 1301–1374) was a Chinese painter during the Yuan and early Ming periods. Along with Huang Gongwang, Wu Zhen, and Wang Meng, he is considered to be one of the Four Masters of the Yuan Dynasty.",Ni,Zan
Francesco Solimena,Q736065,1657,1747,+1657-10-04T00:00:00Z,+1747-04-03T00:00:00Z,Q38,Italy,https://commons.wikimedia.org/wiki/Special:FilePath/Francesco Solimena 001.jpg,Francesco Solimena,"Francesco Solimena (4 October 1657 – 3 April 1747) was a prolific Italian painter of the Baroque era, one of an established family of painters and draughtsmen.",Solimena,Francesco
Théodore Rousseau,Q310025,1812,1867,+1812-04-15T00:00:00Z,+1867-12-22T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Theodore Rousseau.jpg,Théodore Rousseau,Étienne Pierre Théodore Rousseau (15 April 1812 – 22 December 1867) was a French painter of the Barbizon school.,Rousseau,Théodore
Pierre Charles Trémolières,Q2093300,1703,1739,+1703-01-01T00:00:00Z,+1739-05-11T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Charles Trémolières 1703-1739.jpg,Pierre-Charles Trémolières,,Trémolières,Pierre Charles
Adolphe Joseph Thomas Monticelli,Q1152965,1824,1886,+1824-10-14T00:00:00Z,+1886-06-29T00:00:00Z,Q142,France,"https://commons.wikimedia.org/wiki/Special:FilePath/Monticelli - Portrait de l'artiste, 96-005026.jpg",Adolphe Monticelli,"Adolphe Joseph Thomas Monticelli (October 14, 1824 – June 29, 1886) was a French painter of the generation preceding the Impressionists.",Monticelli,Adolphe-Joseph-Thomas
Johann Koerbecke,Q940505,1410,1491,+1410-00-00T00:00:00Z,+1491-06-13T00:00:00Z,Q183,Germany,,Johann Koerbecke,"Johann Koerbecke (c. 1415/20, Coesfeld or Münster - 13 June 1491, Münster) was a German Gothic painter of the Westphalian School. He is believed to have worked with the Master of the Schöppingen Altarpiece and the Master of 1473. He was the first painter from Westphalia who can be named.",Koerbecke,Johann
Eugène Carrière,Q461464,1849,1906,+1849-01-16T00:00:00Z,+1906-03-27T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Eugène Carrière - Self-portrait.jpg,Eugène Carrière,"Eugène Anatole Carrière (French pronunciation: [øʒɛn anatɔl kaʁjɛʁ]; 16 January 1849 – 27 March 1906) was a French Symbolist artist of the fin-de-siècle period. Carrière's paintings are best known for their near-monochrome brown palette and their ethereal, dreamlike quality. He was a close friend of Auguste Rodin and his work likely influenced Pablo Picasso's Blue Period. He was also associated with such writers as Paul Verlaine, Stéphane Mallarmé and Charles Morice.",Carrière,Eugène
Walter Shirlaw,Q7966127,1838,1909,+1838-08-06T00:00:00Z,+1909-12-30T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Walter Shirlaw self-portrait.jpg,Walter Shirlaw,"Walter Shirlaw (August 6, 1838 – December 26, 1909) was a Scottish-American artist.",Shirlaw,Walter
Abraham Storck,Q330635,1644,1708,+1644-04-15T00:00:00Z,+1708-04-08T00:00:00Z,Q170072,Dutch Republic,"https://commons.wikimedia.org/wiki/Special:FilePath/Portret van Abraham Storck Abraham Stork (titel op object), RP-P-OB-48.502.jpg",Abraham Storck,"Abraham Storck (or Sturckenburch; bapt. 17 April 1644 in Amsterdam – buried 8 April 1708) was a Dutch painter, who enjoyed a reputation for his marine paintings, topographical views and Italianate harbour scenes. Storck was also an outstanding draughtsman.",Storck,Abraham
Pierre Andrieu,Q15962367,1821,1892,+1821-12-12T00:00:00Z,+1892-01-30T00:00:00Z,Q142,France,,Pierre Andrieu (artist),"Pierre Andrieu (1821 – 1892), was a 19th-century French painter.",Andrieu,Pierre
Cornelis van Haarlem,Q442484,1562,1638,+1562-01-01T00:00:00Z,+1638-11-11T00:00:00Z,Q1031430,Habsburg Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Cornelis Cornelisz. van Haarlem 001.jpg,Cornelis van Haarlem,"Cornelis Corneliszoon van Haarlem (1562 – 11 November 1638) was a Dutch Golden Age painter and draughtsman, one of the leading Northern Mannerist artists in the Netherlands, and an important forerunner of Frans Hals as a portraitist.",van Haarlem,Cornelis
Yao Kuang,Q65915372,,,,,,,,,,Yao,Kuang
Robert Matthew Sully,Q21809656,1803,1855,+1803-07-17T00:00:00Z,+1855-10-28T00:00:00Z,,,,Robert Matthew Sully,"Robert Matthew Sully (17 July 1803, Petersburg, Virginia - 28 October 1855, Buffalo, New York) was an American portrait painter who worked mostly in Virginia. He is best remembered for his depictions of Native Americans. The famous English-born artist, Thomas Sully, was his uncle.",Sully,Robert
Johann Georg von Dillis,Q21403107,1759,1841,+1759-12-26T00:00:00Z,+1841-09-28T00:00:00Z,Q154195,Kingdom of Bavaria,https://commons.wikimedia.org/wiki/Special:FilePath/Liberat Hundertpfund - Johann Georg von Dillis - WAF 388 - Bavarian State Painting Collections.jpg,Johann Georg von Dillis,Johann Georg von Dillis (26 December 1759 – 28 September 1841) was a German painter.,von Dillis,Johann Georg
Giovanni di Paolo,Q946420,1403,1482,+1403-00-00T00:00:00Z,+1482-00-00T00:00:00Z,Q38,Italy,,Giovanni di Paolo,"Giovanni di Paolo di Grazia (c. 1403–1482) was an Italian painter, working primarily in Siena, becoming a prolific painter and illustrator of manuscripts, including Dante's texts. He was one of the most important painters of the 15th century Sienese School. His early works show the influence of earlier Sienese masters, but his later style was more individual, characterized by cold, harsh colours and elongated forms. His style also took on the influence of International Gothic artists such as Gentile da Fabriano. Many of his works have an unusual dreamlike atmosphere, such as the surrealistic Miracle of St. Nicholas of Tolentino painted about 1455 and now housed in the Philadelphia Museum of Art, while his last works, particularly Last Judgment, Heaven, and Hell from about 1465 and Assumption painted in 1475, both at Pinacoteca Nazionale (Siena), are grotesque treatments of their lofty subjects. Giovanni's reputation declined after his death but was revived in the 20th century.",di Paolo,Giovanni
Gao Yang,Q45474584,,,,,Q8733,Qing dynasty,,,,Gao,Yang
Yoshitoshi,Q467337,1839,1892,+1839-04-30T00:00:00Z,+1892-06-09T00:00:00Z,Q17,Japan,https://commons.wikimedia.org/wiki/Special:FilePath/Tsukioka Yoshitoshi Photograph c1882.png,Tsukioka Yoshitoshi,"Tsukioka Yoshitoshi (Japanese: 月岡 芳年; also named Taiso Yoshitoshi 大蘇 芳年; 30 April 1839 – 9 June 1892) was a Japanese printmaker.
Yoshitoshi has widely been recognized as the last great master of the ukiyo-e genre of woodblock printing and painting. He is also regarded as one of the form's greatest innovators. His career spanned two eras – the last years of Edo period Japan, and the first years of modern Japan following the Meiji Restoration. Like many Japanese, Yoshitoshi was interested in new things from the rest of the world, but over time he became increasingly concerned with the loss of many aspects of traditional Japanese culture, among them traditional woodblock printing.
By the end of his career, Yoshitoshi was in an almost single-handed struggle against time and technology. As he worked on in the old manner, Japan was adopting Western mass reproduction methods like photography and lithography. Nonetheless, in a Japan that was turning away from its own past, he almost singlehandedly managed to push the traditional Japanese woodblock print to a new level, before it effectively died with him.
His life was summed up by John Stevenson:

Yoshitoshi's courage, vision and force of character gave ukiyo-e another generation of life, and illuminated it with one last burst of glory.
His reputation has only continued to grow, both in the West, and among younger Japanese, and he is now almost universally recognized as the greatest Japanese artist of his era.",Yoshitoshi,Tsukioka
Pietro Longhi,Q447058,1701,1785,+1701-11-05T00:00:00Z,+1785-05-08T00:00:00Z,Q4948,Republic of Venice,https://commons.wikimedia.org/wiki/Special:FilePath/PetrusLonghiALonghi.JPG,Pietro Longhi,Pietro Longhi (5 November 1701 – 8 May 1785) was a Venetian painter of contemporary genre scenes of life.,Longhi,Pietro
J. Alden Weir,Q1284220,1852,1919,+1852-08-30T00:00:00Z,+1919-12-08T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Jaldenweir.jpg,J. Alden Weir,"Julian Alden Weir (August 30, 1852 – December 8, 1919) was an American impressionist painter and member of the Cos Cob Art Colony near Greenwich, Connecticut. Weir was also one of the founding members of ""The Ten"", a loosely allied group of American artists dissatisfied with professional art organizations, who banded together in 1898 to exhibit their works as a stylistically unified group.",Weir,Julian Alden
Raphaelle Peale,Q1374536,1774,1825,+1774-02-17T00:00:00Z,+1825-03-04T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Raphaelle peale charles willson peale.jpg,Raphaelle Peale,"Raphaelle Peale (sometimes spelled Raphael Peale; February 17, 1774 – March 4, 1825) is considered the first professional American painter of still-life.

",Peale,Raphaelle
Apollonio di Giovanni,Q2858468,1410s,1465,+1410-00-00T00:00:00Z,+1465-01-01T00:00:00Z,,,,Apollonio di Giovanni di Tommaso,"Apollonio di Giovanni di Tomaso (1414 – 1465), was an Italian painter.",Giovanni,Apollonio
William Turner Dannat,Q8019585,1853,1929,+1853-07-09T00:00:00Z,+1929-03-12T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/William Turner Dannat.png,William Turner Dannat,"William Turner Dannat (July 9, 1853 – March 12, 1929) was an American artist known especially for paintings of Spanish subject matter.",Dannat,William Turner
