Source,Target
Insect,Insects
Chimney,Chimneys
Sailing Ships,Sailing Vessels
Background Scenery,Background Landscape
Nature Elements,Natural Elements
Red Drapes,Red Drape
Ornamental Motifs,Ornate Motifs
Japanese Zen Painting,Zen Painting
Classical Asian Art,East Asian Art
Frames,Frame
Peafowl,Peacock
Clothes,Clothing
St. Catherine,Saint Catherine
Blankets,Blanket
Woman With Baby,Woman And Child
St. Paul,Saint Paul
Sailing Ship,Sailboat
Archangel Gabriel,Angel Gabriel
Sitting Figure,Seated Figure
King Siddharta,King Siddhartha
Pipes,Pipe
Thangka Art,Tibetan Thangka
Tulip,Tulips
Floral Decorations,Floral Decoration
Saint Mary Magdalene,Saint Mary Magdalen
Distant Figure,Distant Figures
Squirrels,Squirrel
Ladders,Ladder
Meadows,Meadow
Ceremonial Items,Ceremonial Objects
Glass Of Wine,Wine Glass
Symbolic Items,Symbolic Objects
Roman Soldier,Roman Soldiers
Buddha Shakyamuni,Shakyamuni
Turtles,Turtle
Worker,Workers
Distant Building,Distant Buildings
Army,Military
Writing Materials,Writing Tools
Camellia,Camellias
Mythical Beings,Mythical Creatures
Kitchen Utensils,Utensils
Vivid Color,Vivid Colors
Soft Tones,Soft Colors
Man Vs Nature,Man Versus Nature
Sacred Motherhood,Divine Motherhood
Holy Figures,Religious Figures
Warmth,Warm
Staircase,Stairs
Neo-Classicism,American Neoclassicism
Subtle Color,Subtle Colors
Social Interactions,Social Interaction
Social Gatherings,Social Gathering
Fall,Autumn
Tibetan Thangka,Thangka
Marine Life,Aquatic Life
Ritual Items,Ritual Objects
Dark Backdrop,Dark Background
White Flower,White Flowers
Fishes,Fish
Floral Motif,Floral Motifs
Cats,Cat
Mythological Figure,Mythological Figures
Indian Miniatures,Indian Miniature
Japanese Zen Art,Zen Art
Sitting Woman,Woman Seated
Divine Guidance,Spiritual Guidance
Sunrise,Sunset
History Painting,Historical Painting
Marshland,Marsh
Yuan Dynasty Painting,Song Dynasty Painting
Delicate Colors,Soft Colors
Fine Brushstrokes,Delicate Brushstrokes
Leaf,Leaves
Tranquillity,Tranquility
Shakyamuni,Shakyamuni Buddha
Figure Three,Figure Two
Writing Tools,Writing Implements
Pine Branch,Pine Branches
Pheasants,Pheasant
Island,Islands
Antelopes,Antelope
Rabbits,Rabbit
Distant Town,Distant City
Crabs,Crab
Red Drape,Red Drapery
Basket Of Fruit,Fruit Basket
Checkerboard Floor,Checkered Floor
Japanese Woodblock Print,Japanese Woodblock
Peasant Woman,Peasant Girl
Woman Seated,Woman Sitting
Chinese Brush Painting,Chinese Ink Painting
Korean Art,Traditional Korean Art
Persian Miniatures,Persian Miniature
Brushstroke,Brushstrokes
Colonial American Art,American Colonial Art
Fine Detailing,Fine Detail
American Neoclassicism,Neoclassicism
Oriental Art,Eastern Art
Chicken,Chickens
Mary Magdalen,Saint Mary Magdalen
Potted Plants,Potted Plant
Woman Sitting,Seated Woman
Flowering Tree,Blossoming Tree
Painting On Wall,Paintings On Walls
Architectural Structure,Architectural Structures
Key,Keys
Theatre,Theater
Horse-Drawn Carriage,Horse-Drawn Cart
Yashoda,Yasoda
Lotuses,Lotus Flowers
Good Versus Evil,Good Vs Evil
Traditional Japanese Painting,Traditional Japanese Art
Donkeys,Donkey
Ornamental Border,Ornamental Borders
Tibetan Buddhism,Tibetan Buddhist Art
Maternal Bond,Maternal Affection
Elder,Elders
Serpents,Snakes
Flower Vase,Vase
Pomegranates,Pomegranate
Duck,Goose
Herons,Egrets
Fog,Mist
Chrysanthemum,Chrysanthemums
Intricate Detail,Intricate Detailing
Boars,Wild Boars
Hand,Hands
Korean Traditional Art,Traditional Korean Art
Sailing Boats,Sailing Vessels
Star,Stars
Old Woman,Older Woman
Bare Tree,Bare Trees
Crows,Crow
Traditional Chinese Landscape,Chinese Landscape
Skulls,Skull
Landscape Background,Background Landscape
Chinese Classical Painting,Classical Chinese Painting
Nativity Scene,Nativity
Red Flower,Red Flowers
Lotus Blossoms,Lotus Flowers
Floral Borders,Floral Border
Tortoise,Turtle
Crowds,Crowd
Virgin And Child,Madonna And Child
Ruin,Ruins
Maternal Affection,Maternal Tenderness
Divine Connection,Spiritual Connection
Japanese Edo Period,Edo Period
Town Buildings,City Buildings
Shore,Shoreline
Ornate Borders,Ornamental Borders
Christian Iconography,Religious Iconography
Woman Standing,Standing Woman
Storm Clouds,Stormy Sky
Japanese Ink Wash,Chinese Ink Wash
Chinese Classical Art,Classical Chinese Art
Snakes,Snake
Pillar,Pillars
Maternal Tenderness,Maternal Love
Vibrant Color,Vibrant Colors
Cultural Values,Cultural Identity
Hunting Dog,Hunting Dogs
Necklaces,Necklace
Chinese Landscape Art,Chinese Landscape Painting
Bison,Buffalo
Meditative,Meditation
Characters,Character
Goose,Geese
Blossoming Trees,Blossoming Tree
Asian Traditional Art,Traditional Asian Art
Indian Miniature Art,Indian Miniature Painting
Small Bird,Small Birds
Ritual Objects,Ceremonial Objects
Infant Christ,Infant Jesus
Woman And Child,Woman With Child
Japanese Classical Art,Traditional Japanese Art
Rabbit,Hare
Dream,Dreams
Dragons,Dragon
Plum Branches,Plum Branch
Puppies,Dogs
Weapon,Weapons
Ropes,Rope
Guard,Guards
Native Americans,Native American
Puppy,Dog
Swan,Swans
Maritime Art,Marine Art
Farmer,Farmers
Doors,Door
Tipis,Teepees
Intricate Detailing,Intricate Details
Teepees,Tepees
Orchid,Orchids
Earthy Colors,Earthy Palette
Rocky Formations,Rock Formation
Nature Painting,Landscape Painting
Japanese Buddhist Art,Japanese Religious Art
Chains,Chain
Sculpture,Sculptures
Rich Color,Rich Colors
Tree Branches,Tree Branch
Warm Tones,Warm Colors
Older Woman,Elderly Woman
Windmills,Windmill
Palm Trees,Palm Tree
Ethnography,Ethnographic
Glove,Gloves
Pillars,Columns
Drapes,Draperies
Lamps,Lamp
Textile,Textiles
Flat Color,Flat Colors
Maternal Care,Maternal
Draperies,Drapery
Drums,Drum
Gardens,Garden
Rock Formation,Rock Formations
Older Man,Old Man
Reflections,Reflection
Indian Manuscript Tradition,Indian Manuscript
Sofa,Couch
Lions,Lion
Taoism,Daoism
Detailed Patterns,Intricate Patterns
Subtle Colors,Soft Colors
Hawk,Eagle
Traditional Indian,Indian Traditional
Chandelier,Chandeliers
East Asian Traditional,Traditional East Asian
City,Cityscape
Young Boy,Young Man
Traditional Asian,Traditional East Asian
Brushes,Brush
Stones,Rocks
Earring,Earrings
Pillow,Pillows
Chinese Ink Wash,Chinese Ink Painting
Lanterns,Lantern
Lotus Flower,Lotus Flowers
Indigenous People,Indigenous
Jacket,Coat
Cloud,Clouds
Fans,Fan
Indian Traditional Art,Traditional Indian Art
Linework,Line Work
Jesus Christ,Jesus
Feather,Feathers
Classical Chinese Art,Traditional Chinese Art
Yuan Dynasty Art,Song Dynasty Art
Fences,Fence
Fisherman,Fishermen
Candles,Candle
Goats,Goat
Illuminated Manuscript,Manuscript Illumination
Bodhisattva,Bodhisattvas
Waterfalls,Waterfall
Classical Chinese Painting,Chinese Traditional Painting
Butterflies,Butterfly
Headdresses,Headdress
Barrels,Barrel
Pillows,Cushions
Ribbon,Ribbons
Snake,Serpent
Traditional Japanese Art,Japanese Traditional Art
Bright Colors,Vibrant Colors
Classical Chinese,Chinese Classical
Golden Background,Gold Background
John The Baptist,Saint John The Baptist
Goat,Sheep
Peacocks,Peacock
Canoes,Canoe
Young Girl,Young Woman
Monkeys,Monkey
Old Man,Elderly Man
Distant Mountains,Distant Hills
Baby Jesus,Child Jesus
Soldier,Soldiers
Elephants,Elephant
Cliff,Cliffs
Indian Manuscript Art,Indian Manuscript
Muted Tones,Muted Palette
Ocean,Sea
Symmetry,Symmetrical
Cow,Cattle
Abstraction,Abstract
Japanese Calligraphy,Chinese Calligraphy
Traditional East Asian Art,Traditional Asian Art
Statues,Statue
Ducks,Geese
Tibetan Buddhist Art,Tibetan Art
Garment,Garments
Fine Brushwork,Delicate Brushwork
Child Jesus,Infant Jesus
Field,Fields
Chinese Traditional Painting,Traditional Chinese Painting
Fruit,Fruits
Pine Tree,Pine Trees
Traditional Indian Art,Indian Art
Ink And Wash,Ink Wash
Sailboat,Sailboats
Ship,Ships
Jesus,Christ
Dogs,Dog
Column,Columns
Cattle,Cows
Ink Wash Painting,Chinese Ink Painting
Romantic,Romance
Flower,Flowers
Japanese Traditional,Traditional Japanese
Earth Tones,Earthy Tones
Curtains,Curtain
Branch,Branches
Indian Miniature Painting,Miniature Painting
Chinese Ink Painting,Japanese Ink Painting
Pathway,Path
Traditional Chinese Art,Traditional Chinese Painting
Traditional Chinese Painting,Chinese Traditional Art
Asian Art,East Asian Art
Mountain,Mountains
Buddhist,Buddhism
Muted Palette,Muted Colors
Chinese Traditional,Traditional Chinese
Bird,Birds
Vivid Colors,Vibrant Colors
Minimalistic,Minimalist
Neoclassical,Neoclassicism
Spiritual,Spirituality
Horse,Horses
Minimalist,Minimalism
Tree,Trees
