title,artist_display,date_display,creation_year_start,creation_year_end,medium,classification,artist_id,location,description,short_description,dimension,artwork_id,full_image_url
"Kichik Beg Wounded during Babur's Attack on Qalat, from a copy of the Baburnama (Book of Babur)","India (Designed by Kanha (fl. c.1580-early 1590s), painted by Mansur (fl. c.1590-1630))",c. 1590,1585.0,1595.0,Opaque watercolor and gold on paper,Painting,ARTIC-104691,India,,,Image: 23.9 × 12.9 cm (9 3/8 × 5 1/16 in.); Outermost Border: 35.8 × 15.4 cm (13 7/8 × 6 1/16 in.); Paper: 31.7 × 21.6 cm (12 3/8 × 8 1/2 in.),ARTIC-1c8c83cd-676f-dbd2-cd54-c61667c2386b,https://www.artic.edu/iiif/2/1c8c83cd-676f-dbd2-cd54-c61667c2386b/full/max/0/default.jpg
Chrysanthemums,"Pierre-Auguste Renoir (French, 1841-1919)",1881/82,1881.0,1882.0,Oil on canvas,Painting,ARTIC-36351,France,"<p>“I just let my brain rest when I paint flowers,” Pierre-Auguste Renoir remarked. “I don’t experience the same tension as I do when confronted by the model. When I am painting flowers, I establish the tones, I study the values carefully without worrying about losing the picture. I don’t dare do this with a figure piece for fear of ruining it.”</p>
",,54.8 × 65.8 cm (21 5/8 × 25 7/8 in.),ARTIC-479aff61-784e-e833-fd82-50ba8c819514,https://www.artic.edu/iiif/2/479aff61-784e-e833-fd82-50ba8c819514/full/max/0/default.jpg
The Tale of Genji,Artist Unknown (Japanese),Early 17th century,1599.0,1699.0,"Pair of six-panel screens; ink, colors, and gold on paper",Painting,,Japan,"<p>This pair of folding screens depicts a few scenes from The Tale of Genji, a long novel written in the 11th century by the court lady Murasaki Shikibu. Even though they take place at different times in the story, the selected episodes are set in one continuous landscape. On the far right, the baby Genji is presented to his father, the emperor, for the first time. Across the bottom of the left screen, court ladies argue about which season is the most beautiful. Above, in the upper left corner, Genji and his love, Lady Murasaki, share an intimate moment in front of a charcoal brazier. The painter may have chosen these scenes fo their felicitous overtones. The overall character of the screens suggests that they were intended to be part of a bride’s wedding trousseau, which would accompany her to her new home.</p>
",,Each: 166 × 371 cm (65 3/8 × 146 1/8 in.),ARTIC-b140529e-865d-bddd-9bba-85131ab1b5e0,https://www.artic.edu/iiif/2/b140529e-865d-bddd-9bba-85131ab1b5e0/full/max/0/default.jpg
"Queen Trishala Gives Birth to Mahavira, from a copy of the Kalpasutra",India (Gujarat),c. 1475-1500,1475.0,1495.0,"Opaque watercolor, gold, and ink on paper",Painting,,India,,,Image: 10.3 × 7.4 cm (4 1/16 × 2 7/8 in.); Paper: 11.4 × 26.3 cm (4 1/2 × 10 3/8 in.),ARTIC-62cf0eda-cbeb-6f30-3e74-7e6dcbedf3da,https://www.artic.edu/iiif/2/62cf0eda-cbeb-6f30-3e74-7e6dcbedf3da/full/max/0/default.jpg
Double Page from the Qur'an,Iran,"Safavid dynasty (1501–1722), 16th century",1499.0,1599.0,Opaque watercolor and gold on paper,Painting,ARTIC-29882,Iran,,,Each page: 31.8 × 21 cm (12 1/2 × 8 1/4 in.),ARTIC-3e782ce2-72ab-1dd2-fb2b-02ace263050d,https://www.artic.edu/iiif/2/3e782ce2-72ab-1dd2-fb2b-02ace263050d/full/max/0/default.jpg
Family Group on a Terrace,"John Theodore Heins, Sr. (British, 1697-1756)",c. 1740,1730.0,1750.0,Oil on canvas,Painting,ARTIC-72293,England,,,94.6 × 120.6 cm (37 1/2 × 47 1/2 in.),ARTIC-4b0bff90-1cb5-0b51-272b-0a0726f36537,https://www.artic.edu/iiif/2/4b0bff90-1cb5-0b51-272b-0a0726f36537/full/max/0/default.jpg
Squirrel and Grapes,"Shen Yongling 沈永令 (Chinese, 1614-1698)",1694 清朝,1694.0,1694.0,Hanging scroll; ink and color on paper,Painting,ARTIC-102177,China,,,84.7 × 30.6 cm (33 1/4 × 12 1/4 in.),ARTIC-8c56e29b-6b6f-394d-3a62-21c811932b72,https://www.artic.edu/iiif/2/8c56e29b-6b6f-394d-3a62-21c811932b72/full/max/0/default.jpg
Three Beauties Chatting by a Veranda,"Katsukawa Shunsho 勝川 春章 (Japanese, 1726-1792)",About 1792,1790.0,1800.0,Hanging scroll; ink and colors on silk,Painting,ARTIC-36681,Japan,,,89.4 × 34.6 cm (35 1/4 × 13 5/8 in.),ARTIC-db7874fd-c5ca-454a-e775-18ca3a27b523,https://www.artic.edu/iiif/2/db7874fd-c5ca-454a-e775-18ca3a27b523/full/max/0/default.jpg
Mrs. William Bonham (Ann Warford),"William Bonnell (American, 1804-1865)","March 6, 1825",1825.0,1825.0,Oil on panel,Painting,ARTIC-2870,United States,,,30.5 × 24.9 cm (12 × 9 13/16 in.),ARTIC-5522b060-d700-cd12-de83-0ebf1161c656,https://www.artic.edu/iiif/2/5522b060-d700-cd12-de83-0ebf1161c656/full/max/0/default.jpg
Bamboo and Fences,"Tosa Mitsuoki (Japanese, 1617-1691)",1654/81,1649.0,1686.0,"One of a pair of six-fold screens, ink and light color on paper",Painting,ARTIC-26388,Japan,,,144 × 286 cm (56 3/4 × 112 5/8 in.),ARTIC-2cb5b35b-9dce-96c9-5dd4-fc761c776e0e,https://www.artic.edu/iiif/2/2cb5b35b-9dce-96c9-5dd4-fc761c776e0e/full/max/0/default.jpg
Venus and Cupid at the Forge of Vulcan,"Johann Michael Rottmayr (Austrian, 1654-1730)",1690/95,1690.0,1695.0,Oil on canvas,Painting,ARTIC-42097,Austria,,,81.3 × 125.2 cm (32 × 49 1/2 in.),ARTIC-59ce4cb2-beae-5492-0d83-345cbc0745c2,https://www.artic.edu/iiif/2/59ce4cb2-beae-5492-0d83-345cbc0745c2/full/max/0/default.jpg
Planting Fragrant Fungus at the Tiaozhou'an,"Attributed to Chen Guan (Chinese, 1563-1639)","Ming dynasty (1368–1644), 1627 (?)",1627.0,1627.0,Hanging scroll; ink and light color on paper,Painting,ARTIC-10425,China,,,109.7 × 47.7 cm (43 1/4 × 18 13/16 in.),ARTIC-f7c3cd41-4a92-cb27-d9d5-5107f29a7633,https://www.artic.edu/iiif/2/f7c3cd41-4a92-cb27-d9d5-5107f29a7633/full/max/0/default.jpg
Hercules and Hesione,"Bartolomeo Salvestrini, attributed to (Italian, died 1630)",c. 1630,1620.0,1640.0,Oil on canvas,Painting,ARTIC-22822,Italy,,,175.4 × 150.2 cm (69 1/16 × 59 1/8 in.),ARTIC-5c9652f0-33b4-7b2b-2be5-007d2e6ea214,https://www.artic.edu/iiif/2/5c9652f0-33b4-7b2b-2be5-007d2e6ea214/full/max/0/default.jpg
Pond in the Woods,"Narcisse Virgile Diaz de la Peña (French, 1807-1876)",1862,1862.0,1862.0,Oil on canvas,Painting,ARTIC-30911,France,,,68 × 89.8 cm (26 3/4 × 35 3/8 in.),ARTIC-44c6f2f1-90fc-f386-734b-fbb9427b6ff3,https://www.artic.edu/iiif/2/44c6f2f1-90fc-f386-734b-fbb9427b6ff3/full/max/0/default.jpg
The Bird Catcher,"Thomas Couture (French, 1815-1879)",c. 1857,1852.0,1862.0,Oil on canvas,Painting,ARTIC-34054,France,,,40.8 × 59.6 cm (16 × 23 1/2 in.),ARTIC-0fa92b0d-fc6d-529c-8afa-bba21f3e1fae,https://www.artic.edu/iiif/2/0fa92b0d-fc6d-529c-8afa-bba21f3e1fae/full/max/0/default.jpg
Landscape with Cottages,"John Constable (English, 1776-1837)",1809/10,1809.0,1809.0,Oil on canvas,Painting,ARTIC-34023,England,,,15 × 29.2 cm (5 7/8 × 11 1/2 in.),ARTIC-a414da01-a3bf-85e0-53a6-9dd1918bf4c2,https://www.artic.edu/iiif/2/a414da01-a3bf-85e0-53a6-9dd1918bf4c2/full/max/0/default.jpg
Poetic Thoughts in a Forest Pavilion 林堂詩思圖,"Ni Zan 倪瓚 (Chinese, 1301–1374)","Ming dynasty (1368–1644), c. 1371",1366.0,1376.0,Hanging scroll; ink on paper,Painting,ARTIC-61317,China,,,124 × 50.5 cm (48 7/8 × 19 15/16 in.),ARTIC-1b2f28c5-4dcd-20fd-e400-40b3b6bc986b,https://www.artic.edu/iiif/2/1b2f28c5-4dcd-20fd-e400-40b3b6bc986b/full/max/0/default.jpg
Portrait of a Man,"Antonis Mor, attributed to (Netherlandish, 1516/21-1575/77)",1565/70,1501.0,1600.0,Oil on panel,Painting,ARTIC-46468,Netherlands,,,115.6 × 85.2 cm (45 1/2 × 33 9/16 in.),ARTIC-47a54a0c-99c2-7aa9-db29-8fbccac5f1e1,https://www.artic.edu/iiif/2/47a54a0c-99c2-7aa9-db29-8fbccac5f1e1/full/max/0/default.jpg
Landscape,"Attributed to Oguri Sotan (Japanese, about 1413-1481)",16th century,1501.0,1600.0,Hanging scroll; ink and color on paper,Painting,,Japan,,,95.5 × 42.9 cm (37 5/8 × 16 15/16 in.),ARTIC-530499eb-65a4-e816-d8ff-7b7cf40af0e3,https://www.artic.edu/iiif/2/530499eb-65a4-e816-d8ff-7b7cf40af0e3/full/max/0/default.jpg
Friar Pedro Wrests the Gun from El Maragato,"Francisco José de Goya y Lucientes (Spanish, 1746-1828)",c. 1806,1801.0,1811.0,Oil on panel,Painting,ARTIC-40615,Spain,"<p>In small, lively paintings made for his own pleasure or for a few discerning patrons, Francisco de Goya explored satirical and popular aspects of Spanish life. <a href=""https://www.artic.edu/search?q=%22maragato%22"">This series</a> was inspired by a contemporary event, the capture of notorious criminal El Maragato by Friar Pedro de Saldivia in 1806. After escaping from prison, El Maragato spent two months stealing food, guns, and money before trying to take Friar Pedro and other innocent people hostage. The friar outsmarted the bandit, however, seizing his gun, shooting him in the thigh as he tried to flee, and finally tying him up. This story was extremely popular in the early 19th century and Spanish artists memorialized it in images, poems, and songs.</p>
",,29.2 × 38.5 cm (11 1/2 × 15 3/8 in.),ARTIC-806514aa-f6bd-ace9-be56-47206943871c,https://www.artic.edu/iiif/2/806514aa-f6bd-ace9-be56-47206943871c/full/max/0/default.jpg
"The Oude Kerk, Delft","Cornelis de Man (Dutch, 1621-1706)",1660/70,1655.0,1665.0,Oil on canvas,Painting,ARTIC-16053,Holland,,,64.1 × 77.4 cm (25 1/2 × 30 1/2 in.),ARTIC-c68a078e-b4c1-7ea8-d37a-a30c7c28f94e,https://www.artic.edu/iiif/2/c68a078e-b4c1-7ea8-d37a-a30c7c28f94e/full/max/0/default.jpg
"Ode: ""Bards of passion and of mirth""","Will Hicock Low (American, 1853-1932)",1887,1887.0,1887.0,Oil on canvas,Painting,ARTIC-42518,United States,,,60.6 × 45.5 cm (23 7/8 × 17 15/16 in.),ARTIC-7093bdd2-13e0-855c-f3c9-eb7ad1d102f9,https://www.artic.edu/iiif/2/7093bdd2-13e0-855c-f3c9-eb7ad1d102f9/full/max/0/default.jpg
Saint Peter and a Donor; Saint Thomas (reverse),"Jacob Cornelisz. van Oostsanen or workshop (Netherlandish, 1470/75-by 1533)",1520/25,1520.0,1525.0,Oil on panel,Painting,ARTIC-43802,Northern Netherlands,,,"54.4 × 22.8 (21 7/16 × 9 in.)
Image (front): 49.3 × 17.9 cm (19 3/8 × 7 1/16 in.)",ARTIC-77afdb88-dd75-5dab-c58b-ef6ac91bee7a,https://www.artic.edu/iiif/2/77afdb88-dd75-5dab-c58b-ef6ac91bee7a/full/max/0/default.jpg
Persons in Louis XV Costumes,"Adolphe-Joseph-Thomas Monticelli (French, 1824-1886)",c. 1880,1801.0,1900.0,Oil on cradled panel,Painting,ARTIC-35813,France,,,32 × 46.3 cm (12 5/8 × 18 1/4 in.),ARTIC-ef2f5040-c247-bc8a-5d06-431c09fbafd5,https://www.artic.edu/iiif/2/ef2f5040-c247-bc8a-5d06-431c09fbafd5/full/max/0/default.jpg
"Painted Banner (Thangka) from a Set of Seven Honoring Gayadhara, a Sakya Pandit from India",Tibet,19th century,1800.0,1900.0,Pigment on cloth,Painting,,Tibet,,,Image: 42 × 30 cm (16 9/16 × 11 13/16 in.); Overall: 107.5 × 62.5 cm (42 3/8 × 24 5/8 in.),ARTIC-faf8ce32-879b-5a00-e33a-2e8b10cca9bb,https://www.artic.edu/iiif/2/faf8ce32-879b-5a00-e33a-2e8b10cca9bb/full/max/0/default.jpg
The Holy Family with Four Saints and a Female Donor,"Antonio Rimpatta (Italian, documented from 1509-died 1531/32)",c. 1510,1505.0,1515.0,Oil on panel,Painting,ARTIC-21839,Italy,,,125.3 × 120 cm (49 3/8 × 47 1/4 in.),ARTIC-ed291bcf-adaa-4acb-aafb-c092b0fd8351,https://www.artic.edu/iiif/2/ed291bcf-adaa-4acb-aafb-c092b0fd8351/full/max/0/default.jpg
Village in Brittany,"Charles François Daubigny (French, 1817-1878)",1844,1844.0,1844.0,"Oil on paper, mounted on canvas",Painting,ARTIC-40516,France,,,23.5 × 35.7 cm (9 1/4 × 14 in.),ARTIC-43642ffb-2bd7-3f70-d6e6-3c0bee12d83c,https://www.artic.edu/iiif/2/43642ffb-2bd7-3f70-d6e6-3c0bee12d83c/full/max/0/default.jpg
Study for The Horse Fair,"Rosa Bonheur (French, 1822-1899)",c. 1850,1845.0,1855.0,Oil on canvas,Painting,ARTIC-33690,France,,,43.2 × 87 cm (17 × 34 1/2 in.),ARTIC-f5c621e6-755e-c2e7-e087-d0dae0ed9ea0,https://www.artic.edu/iiif/2/f5c621e6-755e-c2e7-e087-d0dae0ed9ea0/full/max/0/default.jpg
"Spinning Cloth, Preparing Tea Leaves, Preparing Silk",China,Early 19th century,1801.0,1833.0,Colors on paper,Painting,,China,,,,ARTIC-4803795e-b7cb-055a-a176-473bd0390261,https://www.artic.edu/iiif/2/4803795e-b7cb-055a-a176-473bd0390261/full/max/0/default.jpg
Legends of the Yūzū Nembutsu Sect,"Artist unknown (Japanese, active 14th century)","Kamakura period (1185–1333), 14th century",1185.0,1333.0,"Handscroll; ink, colors, and gold on paper",Painting,,Japan,"<p>This handscroll illustrates the foundation of the Yūzū Nembutsu sect of Japanese Buddhism. A priest named Ryōnin (1072–1132) founded the sect in the Heian period (794–1185). He taught that individuals could attain rebirth in the Western paradise of Amida Buddha, the primary buddha of the Pure Land branch of Buddhism, merely by chanting his name. “Yuzu Nembutsu” means “chanting [Amida’s] name in communion”—a reference to the belief that chanting by one person would affect all other beings.</p>
<p>This scene is the culmination of the scroll and shows different faiths coming together in support of Ryōnin.</p>
","Commissioned and executed in the mid-14th century, this lengthy horizontal scroll illustrates the founding of the Yūzū Nembutsu sect of Japanese Buddhism. Yūzū Nembutsu means “chanting [Amida’s] name in communion”—a reference to the belief that one person chanting the Amida Buddha’s name would affect all other beings, whether in attaining individual rebirth or allowing souls in hell to be saved.",30.5 × 1176.9 cm (12 × 460 in.),ARTIC-f3ffa7dd-dcff-47a7-2ca9-7b15f87f0106,https://www.artic.edu/iiif/2/f3ffa7dd-dcff-47a7-2ca9-7b15f87f0106/full/max/0/default.jpg
Coast of Maine,"Winslow Homer (American, 1836–1910)",1893,1893.0,1893.0,Oil on canvas,Painting,ARTIC-34988,United States,"<p>Winslow Homer observed the shoreline in various weather conditions and seasons after moving to live in near isolation in Prouts Neck, Maine, in 1883. Amid the remote and dramatic landscape, he depicted seascapes void of human life, focusing instead on an emotional response to nature. His marine scenes are larger than his earlier works, the size of the canvases emphasize the vastness and power of the sea. Homer alluded to the violence of water through the sharply diagonal shoreline and vigorous brushwork. The flat areas of color that he employed to represent the rugged rocks simultaneously hint at abstraction.</p>
",,61 × 76.2 cm (24 × 30 in.),ARTIC-de060306-b5a3-5139-cad9-57e9c274d7c3,https://www.artic.edu/iiif/2/de060306-b5a3-5139-cad9-57e9c274d7c3/full/max/0/default.jpg
The August Moon,"William Trost Richards (American, 1833-1905)",1889,1889.0,1889.0,Oil on canvas,Painting,ARTIC-36376,United States,,,45.7 × 81 cm (18 × 31 7/8 in.),ARTIC-b9e7b19d-5746-34bd-cc38-81bd5cac6fb0,https://www.artic.edu/iiif/2/b9e7b19d-5746-34bd-cc38-81bd5cac6fb0/full/max/0/default.jpg
Page from a Manuscript with Diagrams Protecting against Children's Illnesses,Tibet,19th century,1799.0,1899.0,Ink and watercolor on paper,Painting,,Tibet,,,8.9 × 27.9 cm (3 1/2 × 11 in.),ARTIC-a0586024-5c4e-2b62-f4a7-43416b0073d3,https://www.artic.edu/iiif/2/a0586024-5c4e-2b62-f4a7-43416b0073d3/full/max/0/default.jpg
Fishing Boats in a Calm,"Jan van de Cappelle (Dutch, 1626-1679)",1651,1651.0,1651.0,Oil on canvas,Painting,ARTIC-51753,Netherlands,,,57.6 × 71.2 cm (22 11/16 × 28 in.),ARTIC-b246d3eb-8bfe-a031-4848-e00c053546ea,https://www.artic.edu/iiif/2/b246d3eb-8bfe-a031-4848-e00c053546ea/full/max/0/default.jpg
The Covenant,"John Martin, follower of (English, 1789-1854)",c. 1843,1838.0,1848.0,Oil on canvas,Painting,ARTIC-35623,England,,,71 × 90.5 cm (28 × 35 5/8 in.),ARTIC-5b32e8a4-c214-bd41-1d29-9ba3bfb13f1f,https://www.artic.edu/iiif/2/5b32e8a4-c214-bd41-1d29-9ba3bfb13f1f/full/max/0/default.jpg
Richard Bill,"John Smibert (American, born Scotland, 1688-1751)",1733,1733.0,1733.0,Oil on canvas,Painting,ARTIC-24282,United States,"<p>The Scottish-born painter John Smibert studied in London and Italy before settling in Boston in 1728. His skills as a trained formal portraitist were in great demand among the wealthy and powerful colonists in Boston. Richard Bill was a prosperous merchant and politically involved citizen. Smibert depicted him dressed in fashionable costume and standing next to a writing table. A large ship is visible through the window in the background. These details hint at Bill’s success and prestige.</p>
","The Scottish-born painter John Smibert studied in London and Italy before settling in Boston in 1728. His skills as a trained formal portraitist were in great demand among Boston's wealthy and powerful colonists. Here, he depicted Richard Bill, a prosperous merchant and politically involved citizen. The large ship, visible through the window in the background, combined with Bill's elegant clothing, suggests his success and prestige.",127.6 × 102.2 cm (50 1/4 × 40 1/4 in.),ARTIC-10bdba64-db41-0811-f681-c904afded43c,https://www.artic.edu/iiif/2/10bdba64-db41-0811-f681-c904afded43c/full/max/0/default.jpg
Double Portrait: Two Women,British,1845/48,1845.0,1845.0,Oil on canvas,Painting,,United Kingdom,,,91.2 × 65.8 cm (35 7/8 × 25 7/8 in.),ARTIC-9cf496f1-23ba-fd19-c537-159b80c2a63c,https://www.artic.edu/iiif/2/9cf496f1-23ba-fd19-c537-159b80c2a63c/full/max/0/default.jpg
"The Buddha Amida, from the triptych Approach of the Amida Trinity",Japanese,Kamakura Period; mid–13th century,1201.0,1300.0,"Hanging scroll; ink, colors, and cut gold on silk",Painting,,Japan,,,138 × 50 cm (54 3/8 × 19 3/4 in.),ARTIC-aa247325-d126-24bb-a44f-3faf451e108f,https://www.artic.edu/iiif/2/aa247325-d126-24bb-a44f-3faf451e108f/full/max/0/default.jpg
Beauty at the Mimeguri Shrine,"Utagawa Toyohiro (Japanese, 1773-1828)","Edo period, Bunka era c. 1804/18",1804.0,1818.0,"Hanging scroll; ink, colors and gold pigment on silk",Painting,ARTIC-37003,Japan,"<p>This fashionable woman is enjoying a cool evening by the Mimeguri Shrine, located on an embankment of the Sumida River, which flows through central Tokyo. Her clothing advertises her sophistication: a chic lightweight black kimono that reveals the colors of her robes underneath, with a complementary obi (sash). Toyohiro was a second-generation artist of the Utagawa School, the most prominent painters of ukiyo-e, or “floating world” pictures. The phrase “floating world” describes a way of life in premodern Japanese cities (17th–19th centuries) that celebrated enjoyment in fleeting pleasures such as art, beauty, and fashion.</p>
",,70.5 × 26.5 cm (27 3/4 × 10 7/16 in.); Mounting: 158.1 × 37.2 cm (62 1/4 × 14 5/8 in.); Width including lower roller: W.: 42.6 cm (16 3/4 in.),ARTIC-e7e1c69c-3197-ade1-69a2-91fa6b061c7f,https://www.artic.edu/iiif/2/e7e1c69c-3197-ade1-69a2-91fa6b061c7f/full/max/0/default.jpg
The Baptism of Christ,"Perugino (Pietro di Cristoforo Vannucci) (Italian, 1445/46-1523)",1500/05,1500.0,1505.0,"Tempera on panel, transferred to canvas",Painting,ARTIC-36177,Italy,"<p>Perugino’s serene and decorous art was widely influential in his native region of Umbria and beyond, most famously through his contact with the young Raphael. <a href=""https://www.artic.edu/collection?artist_ids=Perugino&classification_ids=tempera"">These four panels</a>, together with another one depicting the Resurrection, now at the Metropolitan Museum of Art, New York, once constituted a predella—a series of small pictures, often with narrative content, forming the base of an altarpiece. In this case, the painting that was positioned above the predella as the focal point of the altarpiece is unidentified. The predella scenes depict moments when Christ’s special nature was revealed: <a href=""https://www.artic.edu/artworks/16205"">his birth</a>, his baptism by Saint John the Baptist in the river Jordan, <a href=""https://www.artic.edu/artworks/16200"">his conversation with a woman of Samaria at the well of the patriarch Jacob</a>, the Resurrection, and <a href=""https://www.artic.edu/artworks/16207"">his appearance to Mary Magdalene after the Resurrection</a>.</p>
",,27.3 × 46.4 cm (10 3/4 × 18 1/4 in.),ARTIC-21bd8c8d-eaee-3128-3357-658c1aa5b910,https://www.artic.edu/iiif/2/21bd8c8d-eaee-3128-3357-658c1aa5b910/full/max/0/default.jpg
Samurai,"Artist unknown (Japanese, 17th century)",1750/75,1750.0,1775.0,Hanging scroll; ink and colors on paper,Painting,,Japan,,,"77.2 × 30.2 cm (30 3/8 × 11 7/8 in.), including mount and knobs: 164.4 × 48 cm (64 3/4 × 18 15/16 in.)",ARTIC-0eb3da5b-2ac6-f9a5-3d65-3e7468c33152,https://www.artic.edu/iiif/2/0eb3da5b-2ac6-f9a5-3d65-3e7468c33152/full/max/0/default.jpg
Mrs. Daniel Embury (Emma Catherine Manley),"Artist unknown (American, 19th century)",1837–63,1837.0,1863.0,Oil on board,Painting,ARTIC-114854,United States,,,27.6 × 22.5 cm (10 15/16 × 8 15/16 in.),ARTIC-25af23d1-e955-7a98-457c-84c2b7b1beff,https://www.artic.edu/iiif/2/25af23d1-e955-7a98-457c-84c2b7b1beff/full/max/0/default.jpg
"Snow Field, Morning, Roxbury","John La Farge (American, 1835-1910)",1864,1864.0,1864.0,Oil on beveled mahogany panel,Painting,ARTIC-35366,Roxbury,,,30.5 × 25.1 cm (12 × 9 7/8 in.),ARTIC-8e5f3773-9396-0fde-8547-490cca07b68b,https://www.artic.edu/iiif/2/8e5f3773-9396-0fde-8547-490cca07b68b/full/max/0/default.jpg
James William Wallack,"Charles Robert Leslie (American, born England, 1794-1859)",1835–40,1835.0,1840.0,Oil on canvas,Painting,ARTIC-35460,United States,,,76.8 × 64 cm (30 1/4 × 25 3/16 in.),ARTIC-e3b91cbd-674a-5da7-1a01-42a2e9a3cadf,https://www.artic.edu/iiif/2/e3b91cbd-674a-5da7-1a01-42a2e9a3cadf/full/max/0/default.jpg
Saint Luke Drawing the Virgin and Christ Child,"Girolamo da Carpi (Girolamo Sellari) (Italian, c. 1501-1556)",c. 1535,1530.0,1540.0,Oil on panel,Painting,ARTIC-40606,,"<p>Girolamo da Carpi was one of the most gifted artists at the court of the Este family of Ferrara, an important artistic center during the Italian Renaissance. This intimate work was painted for the Estes and adorned the oratory chapel of their palace. In the painting, Saint Luke draws the Virgin and Child while Saint Joseph watches unobtrusively from a doorway. As in many Renaissance works, Christ appears agitated—seemingly possessing foreknowledge of his death. He may be reacting to the spearlike yarnwinder, an attribute of the Three Fates and, consequently, a traditional symbol of death.</p>
<p>After leaving the Estes, the painting came into the possession, successively, of two Roman cardinals, two Roman princes, the English Duke of Westminster, Baron Alfred de Rothschild, and the Earl of Carnavon, who famously paid for the excavation of the tomb of King Tutankhamen.</p>
",,47 × 34 cm (18 × 13 3/8 in.) (arched),ARTIC-33f100cf-7ebb-f1ae-a5ec-326c28088b02,https://www.artic.edu/iiif/2/33f100cf-7ebb-f1ae-a5ec-326c28088b02/full/max/0/default.jpg
Notre Dame de Paris,"Jean François Raffaëlli (French, 1850-1924)",1890/95,1890.0,1895.0,Oil on composition board,Painting,ARTIC-40762,France,,,73.6 × 63.5 cm (29 × 25 in.),ARTIC-e5a07fc5-650c-065a-a3e5-8e9ef516137a,https://www.artic.edu/iiif/2/e5a07fc5-650c-065a-a3e5-8e9ef516137a/full/max/0/default.jpg
The Annunciation,"George Hitchcock (American, 1850-1913)",1887,1887.0,1887.0,Oil on canvas,Painting,ARTIC-34953,United States,"<p>In George Hitchcock’s unusual presentation of the Annunciation, the virgin is depicted as a Dutch peasant girl standing in a field of lilies. Traditionally, the lily is a symbol of the angel Gabriel, and Mary’s downcast eyes and humble stance imply that she has received his divine message. Hitchcock spent much of his life in Holland, and his work synthesizes elements of several European art movements. The choice of a religious subject, the unusual composition, and his interest in the effects of sunlight and shadow reflect the influence of the Pre-Raphaelites, the Symbolists, and the Impressionists on Hitchcock’s work.</p>
",,158.8 × 204.5 cm (62 1/2 × 80 1/2 in.),ARTIC-e35161fb-cd78-b757-8000-15ba3ebb0fc3,https://www.artic.edu/iiif/2/e35161fb-cd78-b757-8000-15ba3ebb0fc3/full/max/0/default.jpg
Major-General Henry Dearborn,"Gilbert Stuart (American, 1755–1828)",1812,1812.0,1812.0,Oil on mahogany panel,Painting,ARTIC-36822,Roxbury,"<p>Gilbert Stuart’s idealized portrayal of Major-General Henry Dearborn presents an aging, yet robust military leader invigorated by power and the challenge of the War of 1812. A Revolutionary War hero who served as secretary of war during Thomas Jefferson’s two presidential terms (1801–09), Dearborn continued his service as senior major-general in the 1812 campaign. This work is one of several likenesses Stuart executed of American<br>military and political men, among them his well-known depictions of George Washington. Stuart painted directly on the panel or canvas over the course of several sittings, capturing the new country’s fervent nationalism in skillful, vigorous portraits.</p>
",,71.5 × 57.1 cm (28 3/16 × 22 1/2 in.),ARTIC-8b2a82f5-0f04-4f9d-e6e8-c4e1247aac76,https://www.artic.edu/iiif/2/8b2a82f5-0f04-4f9d-e6e8-c4e1247aac76/full/max/0/default.jpg
"The Birth of Rustam, page from a copy of the Shahnama of Firdausi",Iran,Safavid dynasty (1501–1722)، dated c.1620,1615.0,1625.0,Opaque watercolor and gold on paper,Painting,ARTIC-29882,Iran,,,35.6 × 22.8 cm (14 × 9 in.),ARTIC-fcd4bf60-6889-6501-74ed-9eb045e01a4f,https://www.artic.edu/iiif/2/fcd4bf60-6889-6501-74ed-9eb045e01a4f/full/max/0/default.jpg
Cupid and Psyche,"Jean Baptiste Regnault (French, 1754-1829)",1828,1828.0,1828.0,Oil on canvas,Painting,ARTIC-21517,France,,,152.8 × 196 cm (60 1/8 × 77 1/8 in.),ARTIC-550326b2-8256-839f-7e2d-4d91dda67875,https://www.artic.edu/iiif/2/550326b2-8256-839f-7e2d-4d91dda67875/full/max/0/default.jpg
Wounded Lioness,"Pierre Andrieu (French, 1821-1892)",1840/50,1840.0,1850.0,Oil on canvas,Painting,ARTIC-737,France,,,33.4 × 56.3 cm (13 1/8 × 22 1/8 in.),ARTIC-565dd29f-6c02-3f31-3db2-46902059f047,https://www.artic.edu/iiif/2/565dd29f-6c02-3f31-3db2-46902059f047/full/max/0/default.jpg
A Young Prince on Horseback,"India (Rajasthan, Jodhpur)",c. 1720-1730,1695.0,1705.0,Opaque watercolor and gold on paper,Painting,,India,,,Image: 20 × 13.7 cm (I7 7/8 × 5 3/8 in.); Outermost border: 39.9 × 26.8 cm (15 3/4 × 10 1/2 in.); Paper: 42 × 29.2 cm (16 1/2 × 11 1/2 in.),ARTIC-94fe15b9-10af-554a-6620-82ac2bc4cb1e,https://www.artic.edu/iiif/2/94fe15b9-10af-554a-6620-82ac2bc4cb1e/full/max/0/default.jpg
